OrderRef,"	Amount","	OrderDate","	Note"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
1001,"	100","	10-10-2020","	Apple 6s"
